Year;Zone;Age;Gender;Population
2019;666;00-04;male;24
2019;666;05-09;male;22
2019;666;10-14;male;27
2019;666;15-19;male;49
2019;666;20-24;male;119
2019;666;25-29;male;171
2019;666;30-34;male;158
2019;666;35-39;male;191
2019;666;40-44;male;231
2019;666;45-49;male;298
2019;666;50-54;male;242
2019;666;55-59;male;190
2019;666;60-64;male;124
2019;666;65-69;male;70
2019;666;70-74;male;45
2019;666;75-79;male;13
2019;666;80-84;male;10
2019;666;85-89;male;6
2019;666;90-94;male;2
2019;666;95+;male;1
2019;666;00-04;female;18
2019;666;05-09;female;11
2019;666;10-14;female;18
2019;666;15-19;female;16
2019;666;20-24;female;32
2019;666;25-29;female;53
2019;666;30-34;female;51
2019;666;35-39;female;50
2019;666;40-44;female;67
2019;666;45-49;female;76
2019;666;50-54;female;63
2019;666;55-59;female;56
2019;666;60-64;female;32
2019;666;65-69;female;37
2019;666;70-74;female;28
2019;666;75-79;female;30
2019;666;80-84;female;26
2019;666;85-89;female;19
2019;666;90-94;female;8
2019;666;95+;female;2
2019;667;00-04;male;143
2019;667;05-09;male;116
2019;667;10-14;male;115
2019;667;15-19;male;106
2019;667;20-24;male;138
2019;667;25-29;male;152
2019;667;30-34;male;209
2019;667;35-39;male;186
2019;667;40-44;male;207
2019;667;45-49;male;211
2019;667;50-54;male;207
2019;667;55-59;male;158
2019;667;60-64;male;123
2019;667;65-69;male;88
2019;667;70-74;male;70
2019;667;75-79;male;44
2019;667;80-84;male;36
2019;667;85-89;male;20
2019;667;90-94;male;7
2019;667;95+;male;1
2019;667;00-04;female;102
2019;667;05-09;female;105
2019;667;10-14;female;92
2019;667;15-19;female;96
2019;667;20-24;female;111
2019;667;25-29;female;133
2019;667;30-34;female;158
2019;667;35-39;female;153
2019;667;40-44;female;172
2019;667;45-49;female;185
2019;667;50-54;female;157
2019;667;55-59;female;119
2019;667;60-64;female;118
2019;667;65-69;female;104
2019;667;70-74;female;94
2019;667;75-79;female;80
2019;667;80-84;female;72
2019;667;85-89;female;49
2019;667;90-94;female;22
2019;667;95+;female;8
2019;668;00-04;male;36
2019;668;05-09;male;45
2019;668;10-14;male;33
2019;668;15-19;male;40
2019;668;20-24;male;32
2019;668;25-29;male;64
2019;668;30-34;male;77
2019;668;35-39;male;95
2019;668;40-44;male;103
2019;668;45-49;male;101
2019;668;50-54;male;101
2019;668;55-59;male;83
2019;668;60-64;male;55
2019;668;65-69;male;41
2019;668;70-74;male;33
2019;668;75-79;male;38
2019;668;80-84;male;30
2019;668;85-89;male;17
2019;668;90-94;male;6
2019;668;95+;male;1
2019;668;00-04;female;48
2019;668;05-09;female;37
2019;668;10-14;female;32
2019;668;15-19;female;27
2019;668;20-24;female;49
2019;668;25-29;female;68
2019;668;30-34;female;101
2019;668;35-39;female;94
2019;668;40-44;female;88
2019;668;45-49;female;101
2019;668;50-54;female;89
2019;668;55-59;female;72
2019;668;60-64;female;57
2019;668;65-69;female;51
2019;668;70-74;female;40
2019;668;75-79;female;38
2019;668;80-84;female;34
2019;668;85-89;female;24
2019;668;90-94;female;11
2019;668;95+;female;2