Year;Zone;Age;Gender;PopRate;Population
2019;666;10-14;female;nan;18
2019;666;10-14;male;nan;27
2019;666;05-09;female;nan;11
2019;666;05-09;male;nan;22
2019;666;00-04;female;nan;18
2019;666;00-04;male;nan;24
2019;666;15-19;female;nan;16
2019;666;15-19;male;nan;49
2019;666;20-24;female;nan;32
2019;666;20-24;male;nan;119
2019;666;25-29;female;nan;53
2019;666;25-29;male;nan;171
2019;666;30-34;female;nan;51
2019;666;30-34;male;nan;158
2019;666;35-39;female;nan;50
2019;666;35-39;male;nan;191
2019;666;40-44;female;nan;67
2019;666;40-44;male;nan;231
2019;666;45-49;female;nan;76
2019;666;45-49;male;nan;298
2019;666;50-54;female;nan;63
2019;666;50-54;male;nan;242
2019;666;55-59;female;nan;56
2019;666;55-59;male;nan;190
2019;666;60-64;female;nan;32
2019;666;60-64;male;nan;124
2019;666;65-69;female;nan;37
2019;666;65-69;male;nan;70
2019;666;70-74;female;nan;28
2019;666;70-74;male;nan;45
2019;666;75-79;female;nan;30
2019;666;75-79;male;nan;13
2019;666;80-84;female;nan;26
2019;666;80-84;male;nan;10
2019;666;85-89;female;nan;19
2019;666;85-89;male;nan;6
2019;666;90-94;female;nan;8
2019;666;90-94;male;nan;2
2019;666;95+;female;nan;2
2019;666;95+;male;nan;1
2019;667;10-14;female;nan;92
2019;667;10-14;male;nan;115
2019;667;05-09;female;nan;105
2019;667;05-09;male;nan;116
2019;667;00-04;female;nan;102
2019;667;00-04;male;nan;143
2019;667;15-19;female;nan;96
2019;667;15-19;male;nan;106
2019;667;20-24;female;nan;111
2019;667;20-24;male;nan;138
2019;667;25-29;female;nan;133
2019;667;25-29;male;nan;152
2019;667;30-34;female;nan;158
2019;667;30-34;male;nan;209
2019;667;35-39;female;nan;153
2019;667;35-39;male;nan;186
2019;667;40-44;female;nan;172
2019;667;40-44;male;nan;207
2019;667;45-49;female;nan;185
2019;667;45-49;male;nan;211
2019;667;50-54;female;nan;157
2019;667;50-54;male;nan;207
2019;667;55-59;female;nan;119
2019;667;55-59;male;nan;158
2019;667;60-64;female;nan;118
2019;667;60-64;male;nan;123
2019;667;65-69;female;nan;104
2019;667;65-69;male;nan;88
2019;667;70-74;female;nan;94
2019;667;70-74;male;nan;70
2019;667;75-79;female;nan;80
2019;667;75-79;male;nan;44
2019;667;80-84;female;nan;72
2019;667;80-84;male;nan;36
2019;667;85-89;female;nan;49
2019;667;85-89;male;nan;20
2019;667;90-94;female;nan;22
2019;667;90-94;male;nan;7
2019;667;95+;female;nan;8
2019;667;95+;male;nan;1
2019;668;10-14;female;nan;32
2019;668;10-14;male;nan;33
2019;668;05-09;female;nan;37
2019;668;05-09;male;nan;45
2019;668;00-04;female;nan;48
2019;668;00-04;male;nan;36
2019;668;15-19;female;nan;27
2019;668;15-19;male;nan;40
2019;668;20-24;female;nan;49
2019;668;20-24;male;nan;32
2019;668;25-29;female;nan;68
2019;668;25-29;male;nan;64
2019;668;30-34;female;nan;101
2019;668;30-34;male;nan;77
2019;668;35-39;female;nan;94
2019;668;35-39;male;nan;95
2019;668;40-44;female;nan;88
2019;668;40-44;male;nan;103
2019;668;45-49;female;nan;101
2019;668;45-49;male;nan;101
2019;668;50-54;female;nan;89
2019;668;50-54;male;nan;101
2019;668;55-59;female;nan;72
2019;668;55-59;male;nan;83
2019;668;60-64;female;nan;57
2019;668;60-64;male;nan;55
2019;668;65-69;female;nan;51
2019;668;65-69;male;nan;41
2019;668;70-74;female;nan;40
2019;668;70-74;male;nan;33
2019;668;75-79;female;nan;38
2019;668;75-79;male;nan;38
2019;668;80-84;female;nan;34
2019;668;80-84;male;nan;30
2019;668;85-89;female;nan;24
2019;668;85-89;male;nan;17
2019;668;90-94;female;nan;11
2019;668;90-94;male;nan;6
2019;668;95+;female;nan;2
2019;668;95+;male;nan;1