EcSec;DEcSec;Value
1;1;0
1;2;0
1;3;0
1;4;0
1;5;0
1;6;0
1;7;0
1;8;0
1;9;0
1;10;0
1;11;0
1;12;0
1;13;0
1;14;0
1;15;0
1;16;0
1;17;0
1;18;0
1;19;0
1;20;0
1;21;0
1;22;0
1;23;0
1;24;0
2;1;0
2;2;0.07431177
2;3;0.007865985
2;4;0.013602156
2;5;0.000946089
2;6;0.028811031
2;7;0.007675794
2;8;0.001341837
2;9;0.000323751
2;10;0.001341837
2;11;0.007376001
2;12;0.001238253
2;13;0.001238253
2;14;0.000639651
2;15;0.002562675
2;16;0.001230159
2;17;0.000224
2;18;0.001230159
2;19;0.000634755
2;20;0.001238253
2;21;0.000634755
2;22;0.000956466
2;23;0.001715775
2;24;0
3;1;0
3;2;0.010529115
3;3;0.039993924
3;4;0.019270584
3;5;0.005113307
3;6;0.006757719
3;7;0.02963013
3;8;0.006514356
3;9;0.002917359
3;10;0.006514356
3;11;0.005015151
3;12;0.029626764
3;13;0.029626764
3;14;0.008565309
3;15;0.01799394
3;16;0.007399926
3;17;0.000635148
3;18;0.007399926
3;19;0.003425535
3;20;0.029626764
3;21;0.003425535
3;22;0.007483368
3;23;0.008689287
3;24;0
4;1;0
4;2;0.009149169
4;3;0.010993068
4;4;0.041761059
4;5;0.003605732
4;6;0.006556332
4;7;0.010289568
4;8;0.005333508
4;9;0.001024908
4;10;0.005333508
4;11;0.007320918
4;12;0.001593723
4;13;0.001593723
4;14;0.005379036
4;15;0.023278989
4;16;0.00388026
4;17;0.000368322
4;18;0.00388026
4;19;0.0034323
4;20;0.001593723
4;21;0.0034323
4;22;0.004558485
4;23;0.003930714
4;24;0
5;1;0
5;2;0.036752988
5;3;0.0449961
5;4;0.048852975
5;5;0.153368373
5;6;0.063539994
5;7;0.083077923
5;8;0.088364349
5;9;0.024632982
5;10;0.088364349
5;11;0.070153974
5;12;0.040432713
5;13;0.040432713
5;14;0.09409935
5;15;0.106266636
5;16;0.050845953
5;17;0.012491655
5;18;0.050845953
5;19;0.038719821
5;20;0.040432713
5;21;0.038719821
5;22;0.042775968
5;23;0.083718669
5;24;0
6;1;0.003424455
6;2;0.014519403
6;3;0.006216972
6;4;0.004768962
6;5;0.00284774
6;6;0.038203797
6;7;0.002164563
6;8;0.003986022
6;9;0.003383823
6;10;0.003986022
6;11;0.004068039
6;12;0.004216488
6;13;0.004216488
6;14;0.003266835
6;15;0.002335212
6;16;0.001294686
6;17;0.001420926
6;18;0.001294686
6;19;0.00317301
6;20;0.004216488
6;21;0.00317301
6;22;0.004565781
6;23;0.005730852
6;24;0
7;1;0
7;2;0
7;3;0
7;4;0
7;5;0
7;6;0
7;7;0
7;8;0
7;9;0
7;10;0
7;11;0
7;12;0
7;13;0
7;14;0
7;15;0
7;16;0
7;17;0
7;18;0
7;19;0
7;20;0
7;21;0
7;22;0
7;23;0
7;24;0
8;1;0
8;2;0
8;3;0
8;4;0
8;5;0
8;6;0
8;7;0
8;8;0
8;9;0
8;10;0
8;11;0
8;12;0
8;13;0
8;14;0
8;15;0
8;16;0
8;17;0
8;18;0
8;19;0
8;20;0
8;21;0
8;22;0
8;23;0
8;24;0
9;1;0
9;2;0
9;3;0
9;4;0
9;5;0.00078005
9;6;0
9;7;0
9;8;0
9;9;0.001489116
9;10;0
9;11;0
9;12;0
9;13;0
9;14;0.000147
9;15;0.000218
9;16;0.0000939
9;17;0.00000869
9;18;0.0000939
9;19;0.00013
9;20;0
9;21;0.00013
9;22;0
9;23;0.000669633
9;24;0
10;1;0.0000413
10;2;0.0000527
10;3;0.0000889
10;4;0.0000964
10;5;0.000205418
10;6;0.000176
10;7;0.000115
10;8;0.000174
10;9;0.000107
10;10;0.000174
10;11;0.000194
10;12;0.0000934
10;13;0.0000934
10;14;0.000193
10;15;0.000243
10;16;0.0000931
10;17;0.0000589
10;18;0.0000931
10;19;0.000206
10;20;0.0000934
10;21;0.000206
10;22;0.000137
10;23;0.000208
10;24;0
11;1;0.003868779
11;2;0
11;3;0
11;4;0
11;5;0
11;6;0
11;7;0
11;8;0
11;9;0
11;10;0
11;11;0
11;12;0
11;13;0
11;14;0
11;15;0
11;16;0
11;17;0
11;18;0
11;19;0
11;20;0
11;21;0
11;22;0
11;23;0
11;24;0
12;1;0
12;2;0
12;3;0
12;4;0
12;5;0.01531905
12;6;0
12;7;0
12;8;0.007428423
12;9;0
12;10;0.007428423
12;11;0
12;12;0.007607934
12;13;0.007607934
12;14;0
12;15;0
12;16;0
12;17;0.00041631
12;18;0
12;19;0.001155123
12;20;0.007607934
12;21;0.001155123
12;22;0
12;23;0.013495674
12;24;0
13;1;0
13;2;0
13;3;0
13;4;0
13;5;0.01531905
13;6;0
13;7;0
13;8;0.007428423
13;9;0
13;10;0.007428423
13;11;0
13;12;0.007607934
13;13;0.007607934
13;14;0
13;15;0
13;16;0
13;17;0.00041631
13;18;0
13;19;0.001155123
13;20;0.007607934
13;21;0.001155123
13;22;0
13;23;0.013495674
13;24;0
14;1;0
14;2;0
14;3;0
14;4;0
14;5;0
14;6;0
14;7;0
14;8;0
14;9;0
14;10;0
14;11;0
14;12;0
14;13;0
14;14;0
14;15;0
14;16;0
14;17;0
14;18;0
14;19;0
14;20;0
14;21;0
14;22;0
14;23;0
14;24;0
15;1;0.000218
15;2;0.003454194
15;3;0.004073979
15;4;0.005136471
15;5;0.012866756
15;6;0.006885684
15;7;0.003811443
15;8;0.007913028
15;9;0.003353613
15;10;0.007913028
15;11;0.008195604
15;12;0.003017139
15;13;0.003017139
15;14;0.024482148
15;15;0.089193585
15;16;0.013037718
15;17;0.001096545
15;18;0.013037718
15;19;0.006950136
15;20;0.003017139
15;21;0.006950136
15;22;0.005659608
15;23;0.010715097
15;24;0
16;1;0.020030907
16;2;0.033053472
16;3;0.019794426
16;4;0.020033607
16;5;0.028740002
16;6;0.026813793
16;7;0.021653097
16;8;0.032250444
16;9;0.007457982
16;10;0.032250444
16;11;0.030072774
16;12;0.01439037
16;13;0.01439037
16;14;0.022538211
16;15;0.02590584
16;16;0.211160436
16;17;0.045902256
16;18;0.211160436
16;19;0.016039956
16;20;0.01439037
16;21;0.016039956
16;22;0.014474175
16;23;0.024201051
16;24;0
17;1;0.002551164
17;2;0.003001287
17;3;0.007535922
17;4;0.005415744
17;5;0.01991679
17;6;0.008289852
17;7;0.01000431
17;8;0.042222066
17;9;0.012149655
17;10;0.042222066
17;11;0.017142918
17;12;0.031115574
17;13;0.031115574
17;14;0.021417735
17;15;0.020532735
17;16;0.012792723
17;17;0.010473459
17;18;0.012792723
17;19;0.010189023
17;20;0.031115574
17;21;0.010189023
17;22;0.017045358
17;23;0.029094522
17;24;0
18;1;0.020030907
18;2;0.033053472
18;3;0.019794426
18;4;0.020033607
18;5;0.028740002
18;6;0.026813793
18;7;0.021653097
18;8;0.032250444
18;9;0.007457982
18;10;0.032250444
18;11;0.030072774
18;12;0.01439037
18;13;0.01439037
18;14;0.022538211
18;15;0.02590584
18;16;0.211160436
18;17;0.045902256
18;18;0.211160436
18;19;0.016039956
18;20;0.01439037
18;21;0.016039956
18;22;0.014474175
18;23;0.024201051
18;24;0
19;1;0.0000413
19;2;0.0000527
19;3;0.0000889
19;4;0.0000964
19;5;0.000205418
19;6;0.000176
19;7;0.000115
19;8;0.000174
19;9;0.000107
19;10;0.000174
19;11;0.000194
19;12;0.0000934
19;13;0.0000934
19;14;0.000193
19;15;0.000243
19;16;0.0000931
19;17;0.0000589
19;18;0.0000931
19;19;0.000206
19;20;0.0000934
19;21;0.000206
19;22;0.000137
19;23;0.000208
19;24;0
20;1;0
20;2;0
20;3;0
20;4;0
20;5;0.01531905
20;6;0
20;7;0
20;8;0.007428423
20;9;0
20;10;0.007428423
20;11;0
20;12;0.007607934
20;13;0.007607934
20;14;0
20;15;0
20;16;0
20;17;0.00041631
20;18;0
20;19;0.001155123
20;20;0.007607934
20;21;0.001155123
20;22;0
20;23;0.013495674
20;24;0
21;1;0.0000413
21;2;0.0000527
21;3;0.0000889
21;4;0.0000964
21;5;0.000205418
21;6;0.000176
21;7;0.000115
21;8;0.000174
21;9;0.000107
21;10;0.000174
21;11;0.000194
21;12;0.0000934
21;13;0.0000934
21;14;0.000193
21;15;0.000243
21;16;0.0000931
21;17;0.0000589
21;18;0.0000931
21;19;0.000206
21;20;0.0000934
21;21;0.000206
21;22;0.000137
21;23;0.000208
21;24;0
22;1;0.0000472
22;2;0.00093915
22;3;0.001653915
22;4;0.001702905
22;5;0.003980367
22;6;0.002465883
22;7;0.001060878
22;8;0.002677632
22;9;0.000443916
22;10;0.002677632
22;11;0.003522711
22;12;0.001051863
22;13;0.001051863
22;14;0.002900994
22;15;0.004025949
22;16;0.003831375
22;17;0.000272
22;18;0.003831375
22;19;0.003074196
22;20;0.001051863
22;21;0.003074196
22;22;0.018662541
22;23;0.008753043
22;24;0
23;1;0
23;2;0.000512034
23;3;0.000514263
23;4;0.000441723
23;5;0.001709504
23;6;0.000465696
23;7;0.000861819
23;8;0.001228812
23;9;0.000402885
23;10;0.001228812
23;11;0.001334862
23;12;0.001556046
23;13;0.001556046
23;14;0.002034699
23;15;0.001926855
23;16;0.000416148
23;17;0.000106
23;18;0.000416148
23;19;0.000741102
23;20;0.001556046
23;21;0.000741102
23;22;0.002845578
23;23;0.011495913
23;24;0
24;1;0
24;2;0
24;3;0
24;4;0
24;5;0
24;6;0
24;7;0
24;8;0
24;9;0
24;10;0
24;11;0
24;12;0
24;13;0
24;14;0
24;15;0
24;16;0
24;17;0
24;18;0
24;19;0
24;20;0
24;21;0
24;22;0
24;23;0
24;24;0