EcSec;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
1;200;200;200;200;200;200;200;200;200;200;200;200
2;6400;6200;6100;5900;5800;5700;5600;5500;5400;5200;5100;5000
3;50500;47400;46800;46200;45600;45000;44500;43700;42900;42100;41300;40600
4;77900;73700;73300;73000;72700;72400;72100;71400;70700;69900;69200;68500
5;58600;56700;59000;61500;64000;66500;69200;71400;73700;76100;78500;81100
6;4800;4700;4700;4600;4600;4600;4600;4500;4500;4500;4500;4400
7;34300;31700;31000;30400;29800;29200;28600;27900;27200;26500;25800;25100
8;72200;69000;69500;70100;70700;71300;71900;72300;72700;73200;73600;74000
9;3500;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400
10;31400;29300;29100;28800;28600;28300;28100;27700;27200;26800;26400;26000
11;35600;33800;33800;33800;33700;33700;33700;33500;33300;33100;32900;32700
12;3200;2800;3000;3100;3300;3400;3400;3500;3600;3700;3800;3900
13;38300;32600;35800;38700;41000;42700;44500;46300;48100;50100;52100;54200
14;7000;6700;6500;6300;6100;5900;5700;5500;5300;5200;5000;4800
15;32900;31600;32100;32600;33100;33700;34200;34600;34900;35200;35600;35900
16;58800;56000;57400;58800;60300;61800;63300;64300;65400;66400;67500;68600
17;12400;11900;11900;12000;12100;12100;12200;12300;12400;12400;12500;12600
18;12400;12200;12300;12400;12500;12700;12800;12900;13000;13100;13100;13200
19;17500;16900;17500;18200;18800;19500;20200;20800;21400;22000;22700;23300
20;2500;2100;2200;2300;2300;2300;2300;2200;2200;2200;2200;2200
21;92400;91100;90700;90300;89900;89500;89100;88600;88100;87600;87100;86600
22;33300;33700;35000;36300;37800;39200;40700;42300;44000;45800;47600;49500
23;5400;4700;5000;5200;5400;5600;5700;5800;5900;6000;6100;6200
24;14400;14000;14000;14000;14000;14000;14100;14100;14200;14200;14300;14300
Total;705800;672400;680300;688400;696000;703200;710600;715300;720400;725700;731400;737500